Date,Price,Open,High,Low,Vol.,detail,Change %
2023:03:14,1903.865,1913.63,1914.225,1895.435,83.404,-9.765,-0.51%
2023:03:13,1913.63,1867.035,1914.695,1867.035,131.04,46.595,2.50%
2023:03:10,1867.035,1830.915,1870.245,1827.815,70.998,36.12,1.97%
2023:03:09,1830.915,1813.83,1835.725,1811.985,35.709,17.085,0.94%
2023:03:08,1813.83,1813.34,1824.305,1809.425,38.988,0.49,0.03%
2023:03:07,1813.34,1846.88,1851.705,1812.775,44.746,-33.54,-1.82%
2023:03:06,1846.88,1855.435,1858.31,1845.225,31.455,-8.555,-0.46%
2023:03:03,1855.435,1835.94,1856.39,1835.94,37.695,19.495,1.06%
2023:03:02,1835.94,1836.65,1839.03,1830.05,41.289,-0.71,-0.04%
2023:03:01,1836.65,1826.67,1844.83,1823.15,49.931,9.98,0.55%
2023:02:28,1826.67,1817.25,1831.175,1804.685,42.265,9.42,0.52%
2023:02:27,1817.25,1810.985,1820.2,1806.705,42.639,6.265,0.35%
2023:02:24,1810.985,1822.3,1827.885,1809.01,65.299,-11.315,-0.62%
2023:02:23,1822.3,1825.305,1833.9,1817.55,51.711,-3.005,-0.16%
2023:02:22,1825.305,1834.915,1846.07,1823.56,51.795,-9.61,-0.52%
2023:02:21,1834.915,1843.76,1843.905,1830.29,51.231,-8.845,-0.48%
2023:02:20,1843.76,1842.565,1847.57,1837.36,29.521,1.195,0.06%
2023:02:17,1842.565,1836.52,1843.685,1818.975,57.762,6.045,0.33%
2023:02:16,1836.52,1836.005,1845.32,1827.665,60.769,0.515,0.03%
2023:02:15,1836.005,1854.435,1860.19,1830.62,67.909,-18.43,-0.99%
2023:02:14,1854.435,1853.74,1870.8,1843.26,97.14,0.695,0.04%
2023:02:13,1853.74,1865.35,1866.64,1850.525,43.393,-11.61,-0.62%
2023:02:10,1865.35,1861.78,1872.21,1852.835,66.271,3.57,0.19%
2023:02:09,1861.78,1875.55,1890.25,1858.975,59.722,-13.77,-0.73%
2023:02:08,1875.55,1871.885,1886.515,1869.16,58.339,3.665,0.20%
2023:02:07,1871.885,1867.695,1884.41,1865.05,80.008,4.19,0.22%
2023:02:06,1867.695,1865.695,1881.405,1862.13,62.641,2,0.11%
2023:02:03,1865.695,1912.69,1918.65,1861.43,97.515,-46.995,-2.46%
2023:02:02,1912.69,1950.145,1959.77,1911.375,85.62,-37.455,-1.92%
2023:02:01,1950.145,1928.235,1954.645,1920.58,83.262,21.91,1.14%
2023:01:31,1928.235,1923.2,1931.19,1900.87,58.763,5.035,0.26%
2023:01:30,1923.2,1927.73,1934.565,1920.745,44.861,-4.53,-0.23%
2023:01:27,1927.73,1929.215,1935.05,1916.745,54.335,-1.485,-0.08%
2023:01:26,1929.215,1946.325,1949.26,1918.695,69.317,-17.11,-0.88%
2023:01:25,1946.325,1937.315,1948.1,1919.945,66.017,9.01,0.47%
2023:01:24,1937.315,1931.34,1942.555,1917.22,48.239,5.975,0.31%
2023:01:23,1931.34,1926.06,1935.59,1911.435,58.426,5.28,0.27%
2023:01:20,1926.06,1932.26,1937.58,1920.72,60.306,-6.2,-0.32%
2023:01:19,1932.26,1904.51,1935.21,1901.035,59.576,27.75,1.46%
2023:01:18,1904.51,1908.71,1925.945,1896.675,79.921,-4.2,-0.22%
2023:01:17,1908.71,1916.01,1919.095,1903.81,58.969,-7.3,-0.38%
2023:01:16,1916.01,1920.315,1929.06,1910.915,42.38,-4.305,-0.22%
2023:01:13,1920.315,1896.785,1921.91,1892.395,66.075,23.53,1.24%
2023:01:12,1896.785,1875.965,1901.705,1870.3,86.288,20.82,1.11%
2023:01:11,1875.965,1876.99,1886.695,1867.22,65.959,-1.025,-0.05%
2023:01:10,1876.99,1871.705,1880.795,1867.93,60.283,5.285,0.28%
2023:01:09,1871.705,1866.11,1881.55,1866.11,60.521,5.595,0.30%
2023:01:06,1866.11,1832.7,1869.92,1831.42,77.133,33.41,1.82%
2023:01:05,1832.7,1854.65,1858.995,1825.13,66.836,-21.95,-1.18%
2023:01:04,1854.65,1839.7,1865.215,1836.24,76.233,14.95,0.81%
2023:01:03,1839.7,1823.79,1849.99,1823.79,100.77,15.91,0.87%
2023:01:02,1823.79,1814.985,1826.14,1813.4,74.918,8.805,0.49%
2022:12:30,1814.985,1804.3,1820.205,1804.18,47.045,10.685,0.59%
2022:12:29,1804.3,1813.91,1814.645,1797.1,53.633,-9.61,-0.53%
2022:12:28,1813.91,1798.425,1833.445,1798.425,54.855,15.485,0.86%
2022:12:27,1798.425,1792.63,1803.24,1791.25,53.125,5.795,0.32%
2022:12:26,1792.63,1814.64,1820.46,1784.85,56.279,-22.01,-1.21%
2022:12:23,1814.64,1817.89,1823.865,1811.925,47.261,-3.25,-0.18%
2022:12:22,1817.89,1787.715,1821.14,1784.695,83.849,30.175,1.69%
2022:12:21,1787.715,1793.155,1798.775,1783.905,42.917,-5.44,-0.30%
2022:12:20,1793.155,1776.875,1794.3,1774.365,55.133,16.28,0.92%
2022:12:19,1776.875,1807.44,1808.7,1773.845,77.722,-30.565,-1.69%
2022:12:16,1807.44,1810.77,1814.265,1795.495,79.335,-3.33,-0.18%
2022:12:15,1810.77,1781.41,1824.515,1781.025,75.705,29.36,1.65%
2022:12:14,1781.41,1797.46,1797.46,1777.685,40.487,-16.05,-0.89%
2022:12:13,1797.46,1789.095,1806.16,1788.54,59.735,8.365,0.47%
2022:12:12,1789.095,1786.145,1794.885,1781.49,48.402,2.95,0.17%
2022:12:09,1786.145,1771.005,1790.585,1768.825,57.478,15.14,0.85%
2022:12:08,1771.005,1768.825,1780.92,1767.365,48.533,2.18,0.12%
2022:12:07,1768.825,1797.75,1810.01,1765.91,66.549,-28.925,-1.61%
2022:12:06,1797.75,1803.04,1804.63,1778.545,70.891,-5.29,-0.29%
2022:12:05,1803.04,1768.235,1804.115,1768.235,76.259,34.805,1.97%
2022:12:02,1768.235,1749.575,1770.01,1744.95,69.923,18.66,1.07%
2022:12:01,1749.575,1741.785,1759.035,1740.24,51.669,7.79,0.45%
2022:11:30,1741.785,1753.555,1763.775,1739.675,57.996,-11.77,-0.67%
2022:11:29,1753.555,1755.79,1761.155,1746.02,40.047,-2.235,-0.13%
2022:11:28,1755.79,1749.6,1758.705,1749.335,37.717,6.19,0.35%
2022:11:25,1749.6,1740,1753.465,1727.495,60.716,9.6,0.55%
2022:11:24,1740,1738.185,1749.795,1737.095,40.745,1.815,0.10%
2022:11:23,1738.185,1750.87,1753.065,1732.595,51.6,-12.685,-0.72%
2022:11:22,1750.87,1760.57,1767.735,1747.555,67.706,-9.7,-0.55%
2022:11:21,1760.57,1773.71,1774.885,1754.51,86.275,-13.14,-0.74%
2022:11:18,1773.71,1778.28,1785.095,1770.385,94.214,-4.57,-0.26%
2022:11:17,1778.28,1771.495,1786.545,1767.13,127.162,6.785,0.38%
