Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:3:10,1813.83,1835.725,1811.985,1830.915,17.085,94.0,35709.0
2023:3:9,1813.34,1824.305,1809.425,1813.83,0.49,3.0,38988.0
2023:3:8,1846.88,1851.705,1812.775,1813.34,-33.54,-182.0,44746.0
2023:3:7,1855.435,1858.31,1845.225,1846.88,-8.555,-46.0,31455.0
2023:3:6,1835.94,1856.39,1835.94,1855.435,19.495,106.0,37695.0
2023:3:3,1836.65,1839.03,1830.05,1835.94,-0.71,-4.0,41289.0
2023:3:2,1826.67,1844.83,1823.15,1836.65,9.98,55.00000000000001,49931.0
2023:3:1,1817.25,1831.175,1804.685,1826.67,9.42,52.0,42265.0
2023:2:28,1810.985,1820.2,1806.705,1817.25,6.265,35.0,42639.0
2023:2:27,1822.3,1827.885,1809.01,1810.985,-11.315,-62.0,65299.00000000001
2023:2:24,1825.305,1833.9,1817.55,1822.3,-3.005,-16.0,51711.0
2023:2:23,1834.915,1846.07,1823.56,1825.305,-9.61,-52.0,51795.0
2023:2:22,1843.76,1843.905,1830.29,1834.915,-8.845,-48.0,51231.0
2023:2:21,1842.565,1847.57,1837.36,1843.76,1.195,6.0,29521.0
2023:2:20,1836.52,1843.685,1818.975,1842.565,6.045,33.0,57762.0
2023:2:17,1836.005,1845.32,1827.665,1836.52,0.515,3.0,60769.0
2023:2:16,1854.435,1860.19,1830.62,1836.005,-18.43,-99.0,67909.0
2023:2:15,1853.74,1870.8,1843.26,1854.435,0.695,4.0,97140.0
2023:2:14,1865.35,1866.64,1850.525,1853.74,-11.61,-62.0,43393.0
2023:2:13,1861.78,1872.21,1852.835,1865.35,3.57,19.0,66271.0
2023:2:10,1875.55,1890.25,1858.975,1861.78,-13.77,-73.0,59722.0
2023:2:9,1871.885,1886.515,1869.16,1875.55,3.665,20.0,58339.0
2023:2:8,1867.695,1884.41,1865.05,1871.885,4.19,22.0,80008.0
2023:2:7,1865.695,1881.405,1862.13,1867.695,2.0,11.0,62641.0
2023:2:6,1912.69,1918.65,1861.43,1865.695,-46.995,-246.0,97515.0
2023:2:3,1950.145,1959.77,1911.375,1912.69,-37.455,-192.0,85620.0
2023:2:2,1928.235,1954.645,1920.58,1950.145,21.91,113.99999999999999,83262.0
2023:2:1,1923.2,1931.19,1900.87,1928.235,5.035,26.0,58763.0
2023:1:31,1927.73,1934.565,1920.745,1923.2,-4.53,-23.0,44861.0
2023:1:30,1929.215,1935.05,1916.745,1927.73,-1.485,-8.0,54335.0
2023:1:27,1946.325,1949.26,1918.695,1929.215,-17.11,-88.0,69317.0
2023:1:26,1937.315,1948.1,1919.945,1946.325,9.01,47.0,66017.0
2023:1:25,1931.34,1942.555,1917.22,1937.315,5.975,31.0,48239.0
2023:1:24,1926.06,1935.59,1911.435,1931.34,5.28,27.0,58426.0
2023:1:23,1932.26,1937.58,1920.72,1926.06,-6.2,-32.0,60306.0
2023:1:20,1904.51,1935.21,1901.035,1932.26,27.75,146.0,59576.0
2023:1:19,1908.71,1925.945,1896.675,1904.51,-4.2,-22.0,79921.0
2023:1:18,1916.01,1919.095,1903.81,1908.71,-7.3,-38.0,58969.0
2023:1:17,1920.315,1929.06,1910.915,1916.01,-4.305,-22.0,42380.0
2023:1:16,1896.785,1921.91,1892.395,1920.315,23.53,124.0,66075.0
2023:1:13,1875.965,1901.705,1870.3,1896.785,20.82,111.00000000000001,86288.0
2023:1:12,1876.99,1886.695,1867.22,1875.965,-1.025,-5.0,65959.0
2023:1:11,1871.705,1880.795,1867.93,1876.99,5.285,28.000000000000004,60283.0
2023:1:10,1866.11,1881.55,1866.11,1871.705,5.595,30.0,60521.0
