Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:9:29,1864.795,1879.89,1849.72,1849.96,-14.835,-80.0,123097.0
2023:9:28,1864.795,1879.89,1849.72,1849.955,-14.84,-80.0,123097.0
2023:9:27,1874.835,1879.685,1857.71,1864.795,-10.04,-54.0,137250.0
2023:9:26,1900.67,1903.97,1872.58,1874.835,-25.835,-136.0,111312.0
2023:9:25,1916.015,1916.84,1899.155,1900.67,-15.345,-80.0,95895.0
2023:9:22,1925.43,1927.245,1915.23,1916.015,-9.415,-49.0,87032.0
2023:9:21,1920.085,1929.15,1919.855,1925.43,5.345,28.000000000000004,107780.0
2023:9:20,1930.62,1931.685,1913.94,1920.085,-10.535,-55.00000000000001,145251.0
2023:9:19,1931.36,1947.465,1927.995,1930.62,-0.74,-4.0,137976.0
2023:9:18,1933.695,1937.43,1929.8,1931.36,-2.335,-12.0,93077.0
2023:9:15,1923.92,1934.29,1922.65,1933.695,9.775,51.0,106931.0
2023:9:14,1910.72,1930.475,1909.865,1923.92,13.2,69.0,135779.0
2023:9:13,1908.32,1912.97,1901.05,1910.72,2.4,13.0,154648.0
2023:9:12,1913.43,1915.815,1905.695,1908.32,-5.11,-27.0,136390.0
2023:9:11,1922.38,1924.555,1907.62,1913.43,-8.95,-47.0,122013.0
2023:9:8,1919.085,1930.78,1916.63,1922.38,3.295,17.0,115630.0
2023:9:7,1919.66,1929.75,1917.385,1919.085,-0.575,-3.0,106884.0
2023:9:6,1916.49,1923.67,1916.27,1919.66,3.17,17.0,107298.0
2023:9:5,1926.01,1929.245,1915.345,1916.49,-9.52,-49.0,126647.0
2023:9:4,1938.455,1939.035,1925.37,1926.01,-12.445,-64.0,120681.0
2023:9:1,1939.9,1946.335,1936.805,1938.455,-1.445,-7.000000000000001,59944.0
2023:8:31,1939.855,1953.055,1934.47,1939.9,0.045,0.0,147208.0
2023:8:30,1942.425,1947.955,1939.085,1939.855,-2.57,-13.0,115474.0
2023:8:29,1937.435,1949.115,1934.995,1942.425,4.99,26.0,126012.0
2023:8:28,1920.19,1938.235,1914.485,1937.435,17.245,90.0,123990.0
2023:8:25,1914.425,1926.1,1912.835,1920.19,5.765,30.0,81907.0
2023:8:24,1916.79,1922.44,1903.81,1914.425,-2.365,-12.0,119559.0
2023:8:23,1915.41,1923.4,1911.845,1916.79,1.38,7.000000000000001,118277.0
2023:8:22,1897.675,1920.425,1897.67,1915.41,17.735,93.0,126671.0
2023:8:21,1894.895,1904.55,1889.195,1897.675,2.78,15.0,112446.0
2023:8:18,1889.545,1898.825,1884.885,1894.895,5.35,28.000000000000004,119196.0
2023:8:17,1889.25,1896.905,1886.81,1889.545,0.295,2.0,106517.0
2023:8:16,1892.09,1903.515,1885.085,1889.25,-2.84,-15.0,144196.0
2023:8:15,1901.82,1907.275,1891.875,1892.09,-9.73,-51.0,142099.0
2023:8:14,1907.505,1911.71,1896.455,1901.82,-5.685,-30.0,163154.0
2023:8:11,1913.815,1916.26,1902.73,1907.505,-6.31,-33.0,130484.00000000001
2023:8:10,1912.42,1920.97,1910.9,1913.815,1.395,7.000000000000001,132068.0
2023:8:9,1914.95,1930.18,1912.245,1912.42,-2.53,-13.0,155508.0
2023:8:8,1925.16,1932.395,1914.125,1914.95,-10.21,-53.0,123977.0
2023:8:7,1936.585,1938.155,1922.795,1925.16,-11.425,-59.0,139132.0
2023:8:4,1942.655,1946.815,1931.525,1936.585,-6.07,-31.0,112919.0
2023:8:3,1934.225,1946.99,1924.78,1942.655,8.43,44.0,156902.0
2023:8:2,1934.71,1938.94,1929.61,1934.225,-0.485,-3.0,140159.0
2023:8:1,1944.2,1954.88,1933.036,1934.71,-9.49,-49.0,162768.0
2023:7:31,1965.615,1966.015,1941.29,1944.2,-21.415,-109.00000000000001,136205.0
2023:7:28,1959.34,1972.455,1950.206,1965.615,6.275,32.0,139132.0
2023:7:27,1945.15,1963.575,1945.15,1959.34,14.19,73.0,176345.0
