Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:05:09,2034.535,2048.245,2021.565,2029.74,-4.795,-24,90192
2023:05:08,2021.355,2037.655,2019.55,2034.535,13.18,65,63973
2023:05:05,2016.79,2029.4,2014.305,2021.355,4.565,23,57904
2023:05:04,2050.31,2053.045,1999.585,2016.79,-33.52,-163,99893
2023:05:03,2039.565,2067,2030.39,2050.31,10.745,53,158198
2023:05:02,2016.6,2040.495,2008.025,2039.565,22.965,114,88496
2023:05:01,1982.55,2019.455,1978.52,2016.6,34.05,172,81795
2023:04:28,1989.535,2006.07,1977.12,1982.55,-6.985,-35,92283
2023:04:27,1987.8,1995.14,1976.265,1989.535,1.735,9,91849
2023:04:26,1989.235,2003.415,1974.115,1987.8,-1.435,-7,90833
2023:04:25,1997.04,2009.45,1983.375,1989.235,-7.805,-39,102567
2023:04:24,1989.05,2003.89,1976.185,1997.04,7.99,40,83782
2023:04:21,1982.92,1990.845,1974.155,1989.05,6.13,31,52264
2023:04:20,2004.605,2005.62,1971.695,1982.92,-21.685,-108,68455
2023:04:19,1994.75,2012.445,1990.565,2004.605,9.855,49,54408
2023:04:18,2005.075,2008.255,1969.305,1994.75,-10.325,-51,51668
2023:04:17,1995.055,2011.89,1991.32,2005.075,10.02,50,49962
2023:04:14,2004.275,2015.075,1981.19,1995.055,-9.22,-46,61121
2023:04:13,2040.46,2047.505,1992.5,2004.275,-36.185,-177,71842
2023:04:12,2014.95,2048.77,2014.175,2040.46,25.51,127,54462
2023:04:11,2003.64,2028.4,2001.22,2014.95,11.31,56,66829
2023:04:10,1991.195,2007.495,1988.875,2003.64,12.445,63,40748
2023:04:07,2007.86,2007.86,1981.68,1991.195,-16.665,-83,66635
2023:04:06,2020.65,2021.485,2000.89,2007.86,-12.79,-63,49143
2023:04:05,2020.465,2032.11,2010.09,2020.65,0.185,1,50955
2023:04:04,1984.385,2025.07,1977.035,2020.465,36.08,182,52318
2023:04:03,1969.31,1990.545,1949.81,1984.385,15.075,77,66546
2023:03:31,1980.425,1987.645,1966.935,1969.31,-11.115,-56,45696
2023:03:30,1964.505,1984.365,1955.41,1980.425,15.92,81,44014
2023:03:29,1974.035,1974.46,1958.755,1964.505,-9.53,-48,42937
2023:03:28,1956.45,1975.365,1949.245,1974.035,17.585,90,51915
2023:03:27,1978.965,1978.965,1944.045,1956.45,-22.515,-114,67400
2023:03:24,1993.495,2003.08,1975.325,1978.965,-14.53,-73,104846
2023:03:23,1970.015,2003.36,1964.615,1993.495,23.48,119,90866
2023:03:22,1940.52,1978.915,1934.345,1970.015,29.495,152,95641
2023:03:21,1978.975,1985.22,1935.465,1940.52,-38.455,-194,80572
2023:03:20,1988.305,2009.85,1965.99,1978.975,-9.33,-47,138288
2023:03:17,1919.34,1988.335,1918.305,1988.305,68.965,359,95813
2023:03:16,1918.73,1933.54,1907.56,1919.34,0.61,3,93255
2023:03:15,1903.865,1937.39,1885.79,1918.73,14.865,78,131026
2023:03:14,1913.63,1914.225,1895.435,1903.865,-9.765,-51,83404
2023:03:13,1867.035,1914.695,1867.035,1913.63,46.595,250,131040
2023:03:10,1830.915,1870.245,1827.815,1867.035,36.12,197,70998
2023:03:09,1813.83,1835.725,1811.985,1830.915,17.085,94,35709
2023:03:08,1813.34,1824.305,1809.425,1813.83,0.49,3,38988
2023:03:07,1846.88,1851.705,1812.775,1813.34,-33.54,-182,44746
2023:03:06,1855.435,1858.31,1845.225,1846.88,-8.555,-46,31455
2023:03:03,1835.94,1856.39,1835.94,1855.435,19.495,106,37695
2023:03:02,1836.65,1839.03,1830.05,1835.94,-0.71,-4,41289
2023:03:01,1826.67,1844.83,1823.15,1836.65,9.98,55,49931
2023:02:28,1817.25,1831.175,1804.685,1826.67,9.42,52,42265
2023:02:27,1810.985,1820.2,1806.705,1817.25,6.265,35,42639
2023:02:24,1822.3,1827.885,1809.01,1810.985,-11.315,-62,65299
2023:02:23,1825.305,1833.9,1817.55,1822.3,-3.005,-16,51711
2023:02:22,1834.915,1846.07,1823.56,1825.305,-9.61,-52,51795
2023:02:21,1843.76,1843.905,1830.29,1834.915,-8.845,-48,51231
2023:02:20,1842.565,1847.57,1837.36,1843.76,1.195,6,29521
2023:02:17,1836.52,1843.685,1818.975,1842.565,6.045,33,57762
2023:02:16,1836.005,1845.32,1827.665,1836.52,0.515,3,60769
2023:02:15,1854.435,1860.19,1830.62,1836.005,-18.43,-99,67909
2023:02:14,1853.74,1870.8,1843.26,1854.435,0.695,4,97140
2023:02:13,1865.35,1866.64,1850.525,1853.74,-11.61,-62,43393
2023:02:10,1861.78,1872.21,1852.835,1865.35,3.57,19,66271
2023:02:09,1875.55,1890.25,1858.975,1861.78,-13.77,-73,59722
2023:02:08,1871.885,1886.515,1869.16,1875.55,3.665,20,58339
2023:02:07,1867.695,1884.41,1865.05,1871.885,4.19,22,80008
2023:02:06,1865.695,1881.405,1862.13,1867.695,2,11,62641
2023:02:03,1912.69,1918.65,1861.43,1865.695,-46.995,-246,97515
2023:02:02,1950.145,1959.77,1911.375,1912.69,-37.455,-192,85620
2023:02:01,1928.235,1954.645,1920.58,1950.145,21.91,114,83262
