,Date,Price,Open,High,Low,Vol.,detail,dt_percent
174,2023:01:30,1923.2,1927.73,1934.565,1920.745,44861,-4.53,-23
175,2023:01:27,1927.73,1929.215,1935.05,1916.745,54335,-1.485,-8
176,2023:01:26,1929.215,1946.325,1949.26,1918.695,69317,-17.11,-88
177,2023:01:25,1946.325,1937.315,1948.1,1919.945,66017,9.01,47
178,2023:01:24,1937.315,1931.34,1942.555,1917.22,48239,5.975,31
179,2023:01:23,1931.34,1926.06,1935.59,1911.435,58426,5.28,27
180,2023:01:20,1926.06,1932.26,1937.58,1920.72,60306,-6.2,-32
181,2023:01:19,1932.26,1904.51,1935.21,1901.035,59576,27.75,146
182,2023:01:18,1904.51,1908.71,1925.945,1896.675,79921,-4.2,-22
183,2023:01:17,1908.71,1916.01,1919.095,1903.81,58969,-7.3,-38
184,2023:01:16,1916.01,1920.315,1929.06,1910.915,42380,-4.305,-22
185,2023:01:13,1920.315,1896.785,1921.91,1892.395,66075,23.53,124
186,2023:01:12,1896.785,1875.965,1901.705,1870.3,86288,20.82,111
187,2023:01:11,1875.965,1876.99,1886.695,1867.22,65959,-1.025,-5
188,2023:01:10,1876.99,1871.705,1880.795,1867.93,60283,5.285,28
189,2023:01:09,1871.705,1866.11,1881.55,1866.11,60521,5.595,30
190,2023:01:06,1866.11,1832.7,1869.92,1831.42,77133,33.41,182
191,2023:01:05,1832.7,1854.65,1858.995,1825.13,66836,-21.95,-118
192,2023:01:04,1854.65,1839.7,1865.215,1836.24,76233,14.95,81
193,2023:01:03,1839.7,1823.79,1849.99,1823.79,100770,15.91,87
194,2023:01:02,1823.79,1814.985,1826.14,1813.4,74918,8.805,49
195,2022:12:30,1814.985,1804.3,1820.205,1804.18,47045,10.685,59
196,2022:12:29,1804.3,1813.91,1814.645,1797.1,53633,-9.61,-53
197,2022:12:28,1813.91,1798.425,1833.445,1798.425,54855,15.485,86
198,2022:12:27,1798.425,1792.63,1803.24,1791.25,53125,5.795,32
199,2022:12:26,1792.63,1814.64,1820.46,1784.85,56279,-22.01,-121
200,2022:12:23,1814.64,1817.89,1823.865,1811.925,47261,-3.25,-18
201,2022:12:22,1817.89,1787.715,1821.14,1784.695,83849,30.175,169
202,2022:12:21,1787.715,1793.155,1798.775,1783.905,42917,-5.44,-30
203,2022:12:20,1793.155,1776.875,1794.3,1774.365,55133,16.28,92
204,2022:12:19,1776.875,1807.44,1808.7,1773.845,77722,-30.565,-169
205,2022:12:16,1807.44,1810.77,1814.265,1795.495,79335,-3.33,-18
206,2022:12:15,1810.77,1781.41,1824.515,1781.025,75705,29.36,165
207,2022:12:14,1781.41,1797.46,1797.46,1777.685,40487,-16.05,-89
208,2022:12:13,1797.46,1789.095,1806.16,1788.54,59735,8.365,47
209,2022:12:12,1789.095,1786.145,1794.885,1781.49,48402,2.95,17
210,2022:12:09,1786.145,1771.005,1790.585,1768.825,57478,15.14,85
211,2022:12:08,1771.005,1768.825,1780.92,1767.365,48533,2.18,12
212,2022:12:07,1768.825,1797.75,1810.01,1765.91,66549,-28.925,-161
213,2022:12:06,1797.75,1803.04,1804.63,1778.545,70891,-5.29,-29
214,2022:12:05,1803.04,1768.235,1804.115,1768.235,76259,34.805,197
215,2022:12:02,1768.235,1749.575,1770.01,1744.95,69923,18.66,107
216,2022:12:01,1749.575,1741.785,1759.035,1740.24,51669,7.79,45
217,2022:11:30,1741.785,1753.555,1763.775,1739.675,57996,-11.77,-67
218,2022:11:29,1753.555,1755.79,1761.155,1746.02,40047,-2.235,-13
219,2022:11:28,1755.79,1749.6,1758.705,1749.335,37717,6.19,35
220,2022:11:25,1749.6,1740.0,1753.465,1727.495,60716,9.6,55
221,2022:11:24,1740.0,1738.185,1749.795,1737.095,40745,1.815,10
222,2022:11:23,1738.185,1750.87,1753.065,1732.595,51600,-12.685,-72
223,2022:11:22,1750.87,1760.57,1767.735,1747.555,67706,-9.7,-55
224,2022:11:21,1760.57,1773.71,1774.885,1754.51,86275,-13.14,-74
225,2022:11:18,1773.71,1778.28,1785.095,1770.385,94214,-4.57,-26
226,2022:11:17,1778.28,1771.495,1786.545,1767.13,127162,6.785,38
227,2022:11:16,1771.495,1771.295,1775.09,1753.315,88282,0.2,1
228,2022:11:15,1771.295,1755.655,1772.935,1747.31,110776,15.64,89
229,2022:11:14,1755.655,1706.625,1757.32,1703.96,104778,49.03,287
230,2022:11:11,1706.625,1712.585,1722.345,1702.255,101162,-5.96,-35
231,2022:11:10,1712.585,1675.435,1716.97,1664.76,79690,37.15,222
232,2022:11:09,1675.435,1680.915,1681.945,1666.94,68483,-5.48,-33
233,2022:11:08,1680.915,1629.555,1681.755,1628.735,100030,51.36,315
234,2022:11:07,1629.555,1635.305,1641.03,1616.675,84142,-5.75,-35
235,2022:11:04,1635.305,1647.945,1669.535,1634.785,94156,-12.64,-77
236,2022:11:03,1647.945,1633.69,1657.06,1630.795,82792,14.255,87
237,2022:11:02,1633.69,1644.385,1645.74,1631.805,53632,-10.695,-65
238,2022:11:01,1644.385,1663.395,1667.11,1638.12,96069,-19.01,-114
239,2022:10:31,1663.395,1665.215,1670.845,1654.89,101127,-1.82,-11
240,2022:10:28,1665.215,1653.0,1675.005,1649.82,85264,12.215,74
241,2022:10:27,1653.0,1649.59,1662.445,1638.355,80026,3.41,21
242,2022:10:26,1649.59,1657.62,1670.785,1644.005,117018,-8.03,-48
243,2022:10:25,1657.62,1628.215,1657.955,1617.28,139942,29.405,181
244,2022:10:24,1628.215,1628.98,1645.675,1622.545,90333,-0.765,-5
245,2022:10:21,1628.98,1652.075,1654.475,1627.725,91501,-23.095,-140
246,2022:10:20,1652.075,1650.76,1660.936,1645.915,109812,1.315,8
247,2022:10:19,1650.76,1644.45,1668.53,1644.17,87442,6.31,38
248,2022:10:18,1644.45,1666.135,1671.825,1640.27,121730,-21.685,-130
249,2022:10:17,1666.135,1673.205,1682.495,1642.465,128124,-7.07,-42
250,2022:10:14,1673.205,1666.215,1678.37,1661.47,130410,6.99,42
251,2022:10:13,1666.215,1668.25,1684.04,1661.03,127343,-2.035,-12
252,2022:10:12,1668.25,1695.0,1699.915,1665.77,95519,-26.75,-158
253,2022:10:11,1695.0,1712.74,1714.85,1690.695,127040,-17.74,-104
254,2022:10:10,1712.74,1716.445,1725.6,1706.955,120952,-3.705,-22
255,2022:10:07,1716.445,1726.465,1727.84,1700.59,123662,-10.02,-58
256,2022:10:06,1726.465,1699.795,1729.59,1695.24,131946,26.67,157
257,2022:10:05,1699.795,1660.95,1701.53,1659.695,138190,38.845,234
258,2022:10:04,1660.95,1660.85,1675.43,1659.32,145095,0.1,1
259,2022:10:03,1660.85,1659.995,1664.895,1641.575,142394,0.855,5
260,2022:09:30,1659.995,1629.49,1662.785,1614.925,174988,30.505,187
261,2022:09:29,1629.49,1622.845,1642.51,1622.845,129013,6.645,41
262,2022:09:28,1622.845,1643.925,1649.84,1621.205,168541,-21.08,-128
263,2022:09:27,1643.925,1671.335,1675.915,1639.745,135455,-27.41,-164
264,2022:09:26,1671.335,1673.8,1684.95,1655.715,165919,-2.465,-15
265,2022:09:23,1673.8,1664.845,1688.125,1653.87,119812,8.955,54
266,2022:09:22,1664.845,1675.7,1679.495,1660.03,71504,-10.855,-65
267,2022:09:21,1675.7,1675.505,1680.015,1659.75,70055,0.195,1
268,2022:09:20,1675.505,1664.41,1680.44,1654.19,93957,11.095,67
269,2022:09:19,1664.41,1697.47,1698.32,1660.435,99707,-33.06,-195
270,2022:09:16,1697.47,1702.435,1707.15,1693.67,100890,-4.965,-29
271,2022:09:15,1702.435,1724.635,1731.835,1697.115,100612,-22.2,-129
272,2022:09:14,1724.635,1717.235,1735.18,1712.04,86525,7.4,43
273,2022:09:13,1717.235,1708.74,1729.566,1708.595,87321,8.495,50
274,2022:09:12,1708.74,1718.445,1728.235,1704.0,111952,-9.705,-56
275,2022:09:09,1718.445,1701.86,1719.505,1691.46,84540,16.585,97
276,2022:09:08,1701.86,1710.155,1726.795,1699.88,96042,-8.295,-49
277,2022:09:07,1710.155,1712.665,1715.84,1707.795,46672,-2.51,-15
278,2022:09:06,1712.665,1697.33,1718.015,1695.07,72579,15.335,90
279,2022:09:05,1697.33,1711.04,1711.47,1688.915,109977,-13.71,-80
280,2022:09:02,1711.04,1724.355,1726.595,1709.675,102679,-13.315,-77
281,2022:09:01,1724.355,1737.535,1740.61,1721.215,90849,-13.18,-76
282,2022:08:31,1737.535,1738.05,1745.555,1720.405,92986,-0.515,-3
283,2022:08:30,1738.05,1758.43,1758.835,1734.265,107052,-20.38,-116
284,2022:08:29,1758.43,1751.485,1765.575,1749.995,82790,6.945,40
285,2022:08:26,1751.485,1747.98,1755.94,1742.515,85457,3.505,20
286,2022:08:25,1747.98,1735.88,1754.11,1730.9,90678,12.1,70
